Basic CP with google ,basic MIP,standard DP,DP encoded in CP Google,DP encoded in CP Google with added node removal and sorting,
102191656,116858076,5700864,104319184,34779635,
7147136,26063471,1733686,118876840,48699330,
11042320,20382642,854098,114327224,38041384,
6544481,20676142,519235,127533104,40811918,
12375011,42778125,426032,197577466,49635134,
3673669,11360655,497462,159636840,49753904,
10288350,55313623,349924,147637326,51372683,
8378268,199145647,288809,174620745,67292654,
9871193,180990208,370784,192262461,66368206,
10294130,15574003,386249,242893093,72143368,
8651719,165944409,382234,226357448,163682592,
9204842,223850362,302968,252708944,81821094,
7095408,18485311,270437,258755350,90806675,
6303779,167571475,282181,273246988,97336529,
9771243,24379046,321848,312134230,117028936,
5776653,17417497,296460,310775922,104415886,
7440224,14585532,295206,340094713,112766985,
7799779,25663197,389214,345610635,130415158,
8882323,149217937,437568,336670674,133657729,
9440078,89865400,422545,340069722,123066466,
