standard DP,Basic CP with google ,DP encoded MIP,DP encoded in CP Google,DP encoded in CP Google with added node removal,DP encoded in CP Google with added node removal and sorting,DPv2,basic MIP,
7077796,-1114793248,-30839146414,980104288,747444970,413305824,3379045,30499825,
645452,1000957097,-41329459291,-1388437235,1863046805,664560879,3444138,19793053,
558755,-1000856741,-27922788847,-1386431634,-1884373703,899967015,4824678,28021401,
548076,-1001880433,-37954626422,-1573465674,-1346714199,-1239021390,1442619,22292120,
473492,-1000860798,-26515880548,-1427686462,-1412820060,-1494051217,948653,88349175,
429214,1001528893,-26941536992,-1394008571,-1315757330,-1192428493,993497,60548244,
858524,1004726617,-35671264228,-1760251144,-1355853099,-1255349058,1142248,84762540,
781067,1001365869,-18196707412,-1587328866,-1395967470,-1234552758,940550,59671562,
489638,1002579334,-46417800387,-1495198050,-1400099302,-1272966975,1089626,15460934,
497304,-1002767596,-43955969281,-1826375513,-1646305876,-1670352641,1368126,38087090,
854440,1005668793,-42408428217,-1962027433,-1649330929,-1328087039,2544727,67451505,
520310,-1004629256,-33461347533,-1692323511,-1429581888,-1332723732,1643196,67679677,
933310,1004295803,-35875527121,-2094190316,-1988401830,-1883906171,1467806,35413897,
1751252,1005700462,-35355292213,-1925051961,-1650037631,-1385226972,1887805,41338004,
1359550,1005324178,-45258002322,-3287658658,-2012183671,-1594840228,2434403,95359365,
3125393,1015997002,-40112135486,-1845782446,-1917733335,-1417981747,1538431,65416593,
1206720,1005508239,-51956698665,-1806961305,-2279591333,-1343341756,1053392,57281590,
484242,-1005297897,-60762838008,-2653337273,-2419474244,-2338156229,2330730,165621057,
1384228,-1006833352,-40234541851,-2193430398,-1951352193,-1402818357,2005316,25826472,
1206971,-1028783475,-33229970857,-2024204005,-1798912355,-1385580558,1366334,15807216,
