binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
13035701,12334735,-712775993,83275051,30014122,38367238,-85431825407,40325807811,33405415878,22706684717,-3180222272276,87593276154,-602386601262,
21870006,12080903,-602009963,42403226,26654351,33498995,-1950527958,41190171682,32136350693,24167841206,-3430276719701,78839343089,-602257049204,
1398421,3406343,-601917451,9890556,18807864,28046542,-9360750238060,39937092138,32401146056,21437380837,-2523997699511,66617763089,-602237526260,
1432809,5150475,-601481066,83179959,24301675,31988636,-1063724507,41484696393,33138136560,21582339962,-3010645693843,72627939089,534072257245,
1350637,3282990,-600930773,72279816,21521626,30841983,-22523683818898,35875816069,32049891816,22187902239,-2828520394629,66578308418,-602147237557,
1366829,3557158,-610299506,80961944,34773887,33274929,-15599442413,33405650201,28368714924,20607067480,-1917667594857,60406434390,-602043666901,
2851380,4659776,-601435544,91473359,53977800,38348397,-901897157229,44340363145,34944893594,21529172445,-2884538628152,84435145779,-602341057093,
3039639,3350364,-600635074,79877970,24501809,39273585,-1178111180572,40216781697,31871949251,20811320634,-2398652086886,77160241231,574874189403,
2904666,4231274,-603838804,140531437,51134583,38504403,-6561040333440,39119429567,32507052346,23391050350,-2699703386235,76608935053,-602354948300,
1461514,3967807,-600675288,87073147,16942402,31219377,-2878682333948,41240566020,34219961729,22066366002,-3387497062069,81888633721,-602389545638,
