binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIPCPLEX,
14658268,17669426,-724679485,42083027,24922269,30191465,85268254702,66714850654,44388510966,144360534457,
2571329,10341708,-602985832,83827340,52995846,34578873,77962307832,64091369316,43793190991,148118163342,
2127225,7835200,-601973703,97073959,20924902,40359289,82631741911,65988960152,42613624598,141279661458,
7825308,6896680,-601776376,85549139,23493393,40305640,84360429295,68722643685,39873268069,137114584705,
3970631,6617626,-601578756,73762715,37363578,31406807,73092894472,63616725862,41502155423,129809789381,
1755521,7731364,-601167903,70566219,19166473,35223622,66943858847,57231355032,38416809585,117135737937,
1952530,5049026,-600752181,70411582,17043153,31239181,86499781022,69390515239,40933570125,149288123013,
1959540,4942850,-600935465,72792356,17963649,29146788,80818133259,67455077552,39589477065,143032590302,
1927607,5830981,-600870183,82466760,19450590,38566785,78336567664,63096135697,41251417275,137624198917,
1908700,8573458,-600682484,84531800,15644559,31098710,81395932575,64727888287,39531415615,143194781733,
