binDP,binDPv2,binMIP,binMIPCPLEX,binMIPGUROBI,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIPCPLEX,
18364009,27827123,32531434,26316734,32778535,152531483830,121295054714,71273894768,273257412286,
5746410,13323779,70994071,27931363,56922360,138985381986,115282957641,72352049044,262933218515,
2791876,8657367,85097505,25089558,40704025,139487005756,115955802522,68849347891,250600378059,
8722153,6447171,56626248,23502143,32545453,151892796325,124262218063,65706642746,247795173207,
2465775,9320534,22006637,13868350,25788075,122689005055,108926456156,67628456202,225350851206,
2397747,7980714,18501603,21343407,29028848,119383118887,99559106741,63865208543,202037432548,
3518791,7370440,77282663,20279969,34712998,151233188092,124821851889,65412885078,267079957885,
2609549,8101072,8892944,25516198,40683203,151234404274,122554292525,65654020018,267841128186,
5113086,6725663,15237803,36504118,39790640,142663142762,112594853452,71041795959,250963059331,
2530787,8664784,55137156,30034017,64032281,145325180136,119240965654,64840289525,257482247250,
