binDP,binDPv2,binCPchoco,binCPgoogle,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
42195,29091,116545676,30195088,13720796,8884056,27945066,-18903988,20606358,2827204,3564397,4486860,2019244,6954235,
101928,55817,1999545,630090,9647555,9008423,14775060,-993988,837390,742033,910229,2467000,1703082,6742582,
85726,51686,1845010,565276,12216522,2515013,6139655,-1223644,952090,965095,581007,2302793,2232839,6582870,
80436,62980,3309002,549172,16392945,1882729,5744333,-1378436,856788,788923,783681,2179568,1829671,6467594,
86284,37010,1992062,591095,12848149,10171428,6460433,-1129490,648291,657294,579783,2188429,1415301,5769330,
94175,49076,1442723,549949,10070196,9379284,6342573,-1047530,669262,683185,822848,1951959,1434839,5865832,
80389,45221,1440713,835369,11596513,8270952,6142017,-813192,656550,546091,706723,2034609,1597501,6679347,
72235,79647,1579911,524025,5795790,9132424,6958596,-886114,631931,687159,626619,2255265,1564601,6152656,
59957,10634,1027942,624390,11633699,2072459,6167029,-837781,613650,755113,552362,2465446,1511889,6805800,
67155,8983,1258833,610603,12998406,16463817,5800369,-1256961,603683,750076,643713,2157861,1879807,6012188,
