binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
8638059,9358569,726846868,14899246,12753094,27580366,-34049017,7705399372,6941700789,1197279019,29607371313,21060742481,7293552315,
732186,4413182,601048337,10134251,11461322,28440504,-6702804,6979540448,6384776762,980254485,38371493487,21090711551,6368310030,
530528,2020780,600760605,9948676,9579117,27003519,-3473890,6692412698,5790783638,957836097,32305698675,19580202888,6164485487,
519233,2519339,600721267,5363923,10946231,27990422,-4344166,6730070984,5681686590,1045437979,27048576703,18795298679,5263255432,
623186,1821862,600623100,12310155,10764344,27633435,-3606865,7089952278,6449727980,956533108,34838954606,15681216478,4548243010,
469461,1766281,600613144,14427719,12101677,26166305,-3119125,6725199925,6080958202,988077990,31832825329,14785035883,4205165883,
532470,1795629,600683327,24035846,8552403,24025058,-1869153,6798316922,5670891313,1102127427,44572146275,22720136395,5691225080,
532487,2419183,600708028,11295938,11344358,30277949,-2236094,7062873207,6239261261,1041905297,37282163828,20798922038,6302003422,
936356,2186331,600595914,7691730,10692318,26676726,-2224328,6713417679,5824772736,918139437,36026119606,19157643643,5909644958,
536120,2372881,600592573,10540138,10940170,26787263,-2206487,7586180549,5714237283,1124013927,36833731626,18693322297,4975765070,
