binDP,binDPv2,binCPchoco,binCPgoogle,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
147577,92828,119624356,26724273,28841355,30348169,10207873,-29511635,18589577,4711766,3013669,7741426,3910233,8323914,
133897,103735,5531740,682683,8788212,11409848,6482473,-6099074,1931174,1384229,1170889,5726457,5645394,10677504,
211015,104232,4998018,658727,8317965,7424532,7295192,-4252519,2413418,2156714,1262394,6875422,3827128,8217534,
203393,62020,8403059,645013,16875262,22159342,6517316,-5167577,1451954,1398913,1109218,5647996,3501553,8544624,
221379,71899,8141403,663664,17424957,7415292,8054507,3868351,1552632,1846596,1698386,8398730,5241746,8786415,
145138,18309,3713410,602627,14841803,144139332,6469575,-4706869,1461402,1268393,1191415,10849401,5341469,8525046,
195323,28348,3193824,649170,67165835,12137739,7153698,-2282359,1992612,3381061,1301392,8385411,4329904,8120271,
172226,17021,4097808,610242,11730237,7666277,6781430,-3415907,2754471,1676499,1450566,6042150,4116491,7603526,
150632,20007,1933097,653652,43897724,14731930,8870165,-2297470,1326654,1467174,900555,6750772,3289501,8864472,
185480,39141,3023705,899040,9630768,6298538,6279422,-3105955,1710461,1697226,1387541,8709461,4833055,8645391,
