binDP,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIPCPLEX,binDPinMIPGUROBI,
11203204,-193140746,38499985079,28310452324,3386810179,79600774105,14143962916,
1664831,-24687197,33572722491,30219613727,3213823912,83843214567,21024817163,
1141271,-14811025,34964447872,31419322121,3145526422,78354991282,17690968989,
1144915,-14480471,35309670616,30013252899,3155356986,73410918150,15777634085,
1985565,-6716269,35651934739,33252136197,2917927615,73197110827,14792300755,
1391985,-6576018,28074918486,25564133814,2883804987,58753475962,13169245536,
1202034,-7306646,33747873271,28976968073,3121026522,82383285944,12949077434,
1165892,-4387007,33397970522,30673017044,3140467565,82515570725,16057386229,
1184233,-3811816,34702690430,30159672296,2911950698,77792688280,17323666174,
2622033,-3774935,34635634063,30116090424,3217757003,74580971928,13565825307,
