binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIPCPLEX,binDPinMIPGUROBI,
13704235,16511641,707064575,25018478,15255541,30777748,-37974815,114797559708,80778854774,5365424333,142499869553,23770709313,
3505231,11957761,602385206,55862479,49187198,32147231,-7385008,114395541873,91571173041,5832685556,141258343498,34065700534,
4202270,8281662,602260076,33537014,47931501,36692713,-6308655,119080194163,84456970994,5186975031,138626226035,29675256252,
3440636,7615574,602149824,44938702,49758466,30132467,-4702214,123735554850,89674228626,5201083041,140365121663,20714905699,
1984587,6111303,604730755,33333353,48237879,34338727,-3251262,121114759936,99660462938,4878202337,124759365788,29079942337,
3797028,6803627,601315215,32547191,48370022,29156974,-2791922,95996638298,75578385819,4591894039,118731737225,22607917461,
3614698,8664010,601479620,32613666,50074026,29938129,-4781014,160209554217,119231305768,5838176483,143792010499,21510525435,
2776930,5197366,606070696,37472277,56574440,32235376,-3295089,123678477197,89893482193,5519399903,141357383341,27861828379,
5074625,6661298,602337160,32768339,48063682,28132223,-2779827,126468234999,94299641370,5235628775,137909896630,24102942638,
2083741,4920065,600752555,41373270,49255248,34137595,-3193637,119927946505,87718655170,5333175043,139749830016,26237864252,
