binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIPCPLEX,
14252619,19045309,706848618,13788635,12143218,31524764,-34787737,98516621770,7151246314,225778224751,
5105289,8516876,602148518,7499550,15086587,29609700,-12272414,90994369024,6948644848,224156983006,
3741229,9244418,602824727,12443253,10648616,23380580,-9234088,92162130470,6648201544,200127210403,
2160615,7788587,601660163,11763265,10465388,28076863,-4839848,88789132348,7235280880,205160455936,
2143509,7226180,601407298,11156094,10921981,28851750,-5824659,90007350587,6908405365,198534048585,
2072609,6722708,601011888,10929493,11319702,26836425,-6610626,78407857189,6786644102,175425121695,
2199571,8242476,601113614,9584525,12813104,28295650,-4109450,84168130888,7193275419,218789168338,
2253585,8616962,601116797,11153210,12740991,29402511,-4653636,91029344097,6978317129,215479226003,
3871494,8406695,600690197,11886523,13628639,27073039,-4416930,79706205335,7116380840,198900528885,
2239144,7147200,600696214,9925468,12377003,28219105,-3279789,88072078403,7100963909,197938666242,
