binDP,binConstraintChoco,binDPinCPgooglev3,binDPinMIPCPLEX,binDPinMIPGUROBI,
16226862,-220045809,14534848130,451817271291,90020509097,
9509566,-30640296,13342575290,446557526650,72462362926,
6464129,-25023588,13365924873,437322927722,77100225430,
12493834,-17085474,13712301165,456074675326,74251346760,
3727337,-14881056,13955959452,393371891056,74558711046,
6151979,-8134901,13622999320,388644174536,66071563829,
6238866,-7849632,14406994917,471107346096,79533108149,
3791348,-6120995,14554882827,495079279474,77465779996,
3520901,-14764097,13447467426,400387277093,64269142953,
6528322,-8500218,12344180860,414585856933,69116704306,
