binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIPCPLEX,binDPinMIPGUROBI,
16438868,30669421,731849222,35373347,21877507,45151499,-31469397,511625259943,21538498502,453977715636,79982250804,
4259832,10880049,605357826,58080320,32238589,48755567,-10306461,737903884920,16888895564,432578457387,69819373092,
3991441,8822362,605593083,42200113,29175674,46838425,-11752232,736017544730,20309387592,404415470979,69296002872,
14912909,10924138,606368036,53841187,31681644,50366492,-3888796,708397907941,17735018702,422666355735,66848599840,
7630815,11029464,604270900,33219750,29938227,45846714,-4978104,739277463446,20307329904,352713526222,66565289949,
3470539,10843320,608763711,51417677,60220812,47794348,-4083279,613773067726,15645571406,350626413776,61153272227,
3645002,17801786,604256909,37035972,29509960,46446038,-5358253,697553842436,19197093306,425117259119,73968975745,
3790362,10695908,609276090,75142797,40095566,55905203,-4227835,839681859625,19989870426,440162311205,35057724411,
3573954,13647403,603402058,34446209,44725213,48518579,-4243224,666192400000,14265613877,393576351221,64678195329,
6498881,16205354,602984018,34322542,34220787,46260414,-3370859,749484827322,16053114538,422274172433,68947569092,
