binDP,binConstraintChoco,binDPinCPgooglev3,binDPinMIPGUROBI,
19277755,-195331185,31775321377,146876822196,
9939368,-32916092,29403683174,219572962229,
7308527,-25143485,25913225339,160385013578,
32303290,-10819974,26808693124,169920115637,
10284655,-10857135,26633108337,143951685304,
6775754,-29835310,25585290949,134389232471,
5375127,-15350157,27200024879,154321161476,
5491098,-11519663,28213524278,169525862162,
5176861,-11967049,24836851782,146066488547,
7141561,-10703172,26243718299,145801830591,
