binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgooglev3,
18895413,41853040,709557090,18059529,14662729,29256407,-43367571,27392692447,
14433320,23520200,603233145,14352343,11249941,30367123,-15050404,27374681654,
11925815,18974425,602965112,12996520,12712467,24867834,-12495592,24064395013,
16203242,20589987,602327419,12331127,11070315,25537215,-6196454,25110882601,
6912955,22892695,601474110,11649084,10676622,26452148,-6071764,24886128402,
6659591,20490915,601126407,11284852,10453220,27888796,-7789210,24800485509,
8242594,22668841,601111339,11483771,11665891,31584362,-5653174,27710104217,
7263790,28496301,600671248,13482624,10200880,29163030,-5607072,27114748194,
6803797,21526840,600835617,7227682,10616501,27183352,-4179902,25429516277,
6965648,21026301,600942956,9638628,10630858,27977134,-4558067,24697939055,
