binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgooglev3,
33558980,92950054,710468179,17357858,16898522,31168330,-109427684,153723919411,
55803219,73221296,604559639,17317078,17736157,30911704,-54485815,164152361936,
15420367,64547200,603329588,15902608,17432436,31737445,-17256909,146900714751,
38248206,68920051,602462183,10730860,17925065,29139167,-20108749,148022881686,
29501814,62910864,601742444,13580004,13819199,28188819,-18429847,153701128523,
17011526,66408913,601208687,10253063,12842724,31291158,-27178388,161848603761,
17754223,68645369,601173180,13041139,15190170,28306638,-17770838,166604190219,
18937740,71565208,601200094,11110142,11111756,25631182,-18101285,170524475151,
18549848,63023427,601368522,14236383,15671693,33282657,-17839755,143789178723,
21833061,67648649,600726978,14741738,14899366,30647903,-17487627,150696208022,
