binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIPCPLEX,binDPinMIPGUROBI
11874263,12307025,-709645381,29687453,25692449,32580324,-70501211,47375469650,36729092548,26302525648,42946918732,-601597127821
1189912,5473831,-601535189,49381926,23756231,33713993,-85002207,37422482694,31824535446,21220030222,33021084936,-601392953118
1177042,2811590,-600839532,24867458,23159402,30062670,-72942114,49162033674,39753212724,20169385553,31566960122,462163906371
762953,3017885,-600707649,45170017,24563569,32802079,-61272628,33151058779,27607398926,20908976335,30297271460,469942725405
820259,3378097,-600648000,40187975,34159682,33449891,-81639055,29126875491,26180435798,20109423559,29621092903,349041520752
1476008,2580967,-600580360,33871295,19676651,35713325,-25811877,23398580117,17326532163,18604612792,29114457047,432629627866
856573,3568211,-600627244,17685977,15753285,31124246,-16783298,36333282522,28003837565,22010793885,36477132175,596620237296
820372,3372157,-600563207,18668674,14511305,30609971,-3327447,26744543860,20220975393,20097549191,32022253404,364945877801
893411,3355937,-600582023,26916467,21233451,33899292,-79887300,42934969871,35075734913,25586032261,39559592844,433948495463
1044615,3477685,-600601115,30670040,15397416,29190449,-66180648,38426736050,28272779646,18768218084,32851452888,468558008892
