binDP,binDPv2,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIPCPLEX
11894028,15500053,32965039,22338476,31007985,-413799965,116768908932,87914717622,60511891915,93901977801
3771376,7286268,30048882,24275463,38608322,-301823284,86150571364,70490606302,52800391200,79714837602
1278636,4444720,30922154,21959342,32102047,-77176126,109966065955,84119431511,50010505094,69510853077
1236019,4871185,19838065,23273401,29048982,-107379590,79604600254,67131573583,52298315421,63420076554
1300473,3443099,36159799,21166270,31560961,-87202118,73798543985,61025591147,47493756963,71934407504
1250338,3353913,36986681,35227315,33628100,-196766073,65806359142,51721213655,46060907761,62156466610
1380517,4508330,31632495,19430742,33659037,-49518251,99369992700,83140297511,51803573648,79955067764
1344365,3516616,30387912,16875261,28780827,-34151496,69280807114,53829501587,48914196537,69429717697
2558266,4539194,31648867,26483133,33274805,-32333863,111084085157,91117035251,62026140917,82026533766
1203296,4877153,58541732,26269783,34607466,-113352523,81708906053,66457781375,40651769684,61340817061
