binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIPCPLEX,
13995589,15882094,-701637269,39622461,35213501,39260909,-465182445,238726363558,187184319296,121725762685,172928929795,
4232962,14660690,-602510628,25345849,15148654,27198641,-51607078,159509389310,131993488810,100726267168,147581757832,
2019125,6865076,-601940085,24955071,17619659,30818841,-173090389,197138225616,160489706496,111615350067,138529389844,
3232882,7199768,-601709796,26326114,20688459,34698829,-73209854,149543752929,119615865434,106118510956,124841415360,
3661667,6913077,-601657807,139461058,18896212,36073710,-311211675,153284560958,118599065762,104094021491,134603764903,
1887636,6211123,-601601366,31346275,24881228,30472272,-62707098,140004732526,113846580799,93214348756,115219439703,
2104728,6788822,-601135944,25415775,19176503,31569898,-53698119,193037405654,167297442876,102303592457,142395905857,
2754649,7000420,-601338214,17224114,14249419,32134754,-88087294,155556862116,119632133248,109238830610,131297312483,
3749086,5858463,-600759289,28050744,19773818,30874812,-144604519,213757236413,159831796546,129099289264,150088073360,
1991320,5982255,-600718002,12698701,11665453,25335886,-87131315,168446912934,141213499698,86218877921,122824132770,
