binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIPCPLEX,
16761719,28303768,-740954042,59287947,24035885,50887506,-291679981,639595474642,494922706929,462252428248,
8094573,21046280,-605023498,79419210,90837676,61649304,-259367639,536218982432,546192845820,436089924051,
4505097,11586881,-605628735,44224964,137715549,59593723,-151368568,-704398815989,546678056116,384782772440,
17255179,15605831,-606844025,100097942,286623052,67799347,-237420979,629831546343,556024745834,351707693420,
7502135,12471955,-604336443,40885691,105655193,59430047,-37513557,608951449062,414028365200,385982074203,
6282640,8013286,-612044803,91977930,204720487,78130096,-32543981,364816625023,289815627198,350651437574,
3369749,12989145,-601790965,45353092,73214503,53351052,-125760910,633420660749,439705533177,419836622394,
3523351,10406206,-607370501,68773364,199686429,57857670,-506825011,442715034037,477091556771,421012839375,
3494867,18161515,-603288108,93856217,153203898,72292349,-102406218,-723219070617,645827085550,443925806023,
6398788,15034575,-603633620,38289738,52789496,52666037,-163665529,624810574035,366375852837,366591692366,
