binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco
27282867,63961875,-736716343,104200443,75452776,62666464,-844323129
248188952,44272988,-603871909,91027215,189300870,57359986,-345871866
16067438,46857113,-606228408,56396959,220120483,67510619,-1170295473
50106127,42491268,-605052642,115101479,232184886,61967807,-549195443
17170840,45711588,-609336412,123845180,255852314,97593610,-1058776843
13602547,43940969,-605120335,102488966,293539927,86923981,-514365559
17533701,49201370,-606782129,54013745,273999899,63897558,-311949374
13929894,47846831,-603613269,123430569,392090955,75659497,-295514351
28505582,48037324,-604360665,87592258,211613554,65127557,-648283637
15938354,45105095,-605705894,99253571,327626467,67676180,-442555989
