binDP,binDPv2,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco
31502942,77989045,55782309,76781396,57816874,-1363153278
110617586,58095592,75054191,166988618,65336579,-544311610
20038494,59679875,73845368,244082819,68620868,-2285851827
64343113,59082529,106725043,218551308,73770525,-1703624440
916699719,65526024,121040886,376120447,71461147,-645079654
21737032,54910409,141344098,337311271,63317482,-901728370
19937673,63007317,54969699,187116177,63827687,-713531423
293756816,61900572,111181652,435335924,72707635,-883607440
22315044,63242076,70913736,149996039,66467860,-266719311
597842299,61876267,134811598,304917722,65843573,-1097500552
