binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgooglev3,
41885753,101062339,-758027365,114678055,78627087,51994123,-825247887,-1039114855385,
421718083,73526844,-604730752,84928557,174985300,70573052,-858585282,-765458027095,
462835423,88407264,-641275897,118878833,268537584,66821236,-2057812022,-789555893816,
72533895,73367138,-605590210,146779715,316112346,65692614,-2637484011,-789166053008,
25589258,86160741,-607464442,80167703,180856495,76177913,-1109331249,-836202472151,
531810210,73965407,-607773839,97676212,370728573,74441139,-2671751774,-857318358121,
26261372,80146460,-604951809,92551735,320510128,63895802,-959205845,-840610548440,
23624024,72437356,-604359684,69991023,389032372,76612725,-435272578,-848949525105,
128867041,82587870,-604402768,84573043,343357372,68123502,-912447605,-824698694762,
35380253,77830739,-604380911,68974186,164150757,70729845,-1587945955,-860035370319,
