binDP,binDPv2,binCPchoco,binCPgoogle,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
58125,32994,152531897,37853671,29844335,43826308,30445698,-19720327,19117769,2188835,3175870,4442292,2853480,6393997,
64430,30514,1094181,580155,5734259,4349611,6559910,-998507,1478191,649599,738260,2277437,1824627,6202278,
60938,37134,1624471,539808,9170178,1977045,6599234,-934325,615521,572174,533685,2223025,1638465,6095483,
74350,32320,1921528,523968,11995155,47089842,6798680,-2959297,572367,711189,559257,2067656,1300976,6111484,
77931,25487,1253407,509065,9894043,8872015,6574419,-1259460,589312,610390,597696,2308987,1722582,6080626,
106071,50107,1701202,597409,14254155,8985789,6346145,-1378972,661597,670372,924395,2081627,1793277,7096291,
134889,53832,1439818,665585,11352292,10190832,6659209,-1571165,649288,888127,806532,2354715,2180021,6463823,
94773,92781,1526366,552911,11279650,17708175,6426159,-923360,641729,576590,641445,2196354,1745481,5826434,
114349,11845,1240630,601353,7045108,5547456,6550046,-847730,572182,587379,715318,2302714,1844072,6179881,
133023,10497,1708383,527095,13381752,8363252,6658573,-1118966,805592,905388,854759,3421760,1985935,6230364,
