binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
9194419,5356142,-707757866,12873314,11379111,25942210,-91463117,11997658163,8111927966,7246156854,213151108889,16570395272,123190291646,
767504,4108933,-601213309,34493386,16425355,28456438,-57318662,10852964522,9203313290,6878849522,255275403595,12312497836,156615679796,
859169,1586203,-600781897,21286693,24883123,31816406,-61503842,15482539082,11814004257,5665456373,220081482181,10946893201,132781672005,
907709,1861398,-600665363,23076053,31851709,31356625,-18192144,10711947497,8666909762,6521488747,198555031772,11189507718,137380079082,
839652,1666267,-600707239,39379869,25721021,30137176,-16930851,9300075070,7994657376,5404574859,193001500931,10200649310,96347476984,
523068,1425474,-600572431,23378897,28274770,33695437,-38475352,6928706147,5814612259,5530101905,152391308007,9929299961,107122237215,
512358,1710006,-600492526,21801452,15896714,29724343,-44117014,10680270567,7761677114,6789021028,279651084392,14556584833,132656720438,
465163,1468203,-600487123,38852901,29695079,27169762,-16830730,7662822276,6238933467,6137994956,200875232725,10872127188,116122222951,
527316,1804772,-600474124,17635657,22187076,31470568,-33324887,13638181359,11046260856,7724305772,261041143865,14637752810,132382597891,
473554,1980880,-600605408,15114436,19324648,26557314,-52587572,10252335528,7758194641,5500560531,200401324129,12554272769,133772200677,
