binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
8491958,6445447,-706715197,31403229,34282508,34473464,-108012297,11521182791,9777330672,3778405321,555613906920,17838351868,180631360367,
765030,5213699,-601021214,38889834,35054071,31653971,-104679713,9827627669,8144505127,4110167317,514931079298,17980873465,237882824204,
880658,3534877,-601057815,33052251,20626117,27560816,-66521002,9249999398,8303755529,4039477441,432779966830,17501415191,141121476568,
476760,1582042,-600779215,24974960,12465563,28375367,-6496566,8282522929,7279359630,3881221683,324928881711,16697760085,198806939639,
494878,2334397,-600596186,33317642,25211747,28758124,-68329568,10646450144,9531292519,3759437977,417750920871,16293285266,146328320775,
533499,2210597,-600658928,28568417,31851164,29667619,-44313929,9438338133,8517276476,3035727101,444833847297,18517465102,223314872229,
526279,2737242,-600688788,14241465,16054487,29804180,-43123841,8882025688,7709799647,5639713626,486536984079,19294682756,247300914320,
556992,2244888,-600677957,42637739,33951125,33839909,-90238134,9037763688,7329450023,4317968798,565487537513,20421598710,208775505423,
487546,2154170,-600536983,32722569,23648389,36420665,-57627412,9142351559,8000559469,3670031412,436444108522,16715692426,175994972797,
1036327,1859694,-600541197,15419138,18867917,30592855,-39083598,9113436065,7853178860,4390418576,480411355627,17693892024,195367127616,
