binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIPCPLEX,binDPinMIPGUROBI,
9642693,10252794,-742881553,43259535,20021023,29320241,-246994652,28147863451,20887179711,5871600405,32485977958,298148676346,
1181040,6745901,-601355524,18387346,14579115,28751962,-150064170,22859314753,16034515374,5846184792,32579238914,589558467638,
868439,2964190,-601419134,31032132,21423099,27678970,-74548091,22745288445,18608926180,5757848584,32716830738,400336462663,
1007860,2766953,-600737385,39105584,39359131,30328161,-26853279,21270018172,16714718316,5694327736,29759254580,325093798330,
817935,2799218,-601031030,14241364,15233523,31830741,-26004998,24320554707,20251214883,5237755953,29356508434,267669947185,
1804587,2653140,-600615711,17781297,17205830,29339955,-28171296,26145314997,20641641118,4605702230,32518997592,290795761543,
869241,3931480,-600583856,41534945,30925396,37782324,-42241221,20400655912,14477624803,8597228946,35419356508,420750275210,
928229,3649056,-600530405,20829264,21542098,28320618,-30920371,19107614485,13640308843,6771973771,35734608112,334441706498,
1055494,2836607,-600544245,99733677,37017096,35117140,-106518829,22755078012,18341151371,5571928411,31440604882,369953497793,
834782,3229621,-600508079,28123131,32748811,35082575,-39278278,21816679227,16846904407,6212106813,30566219369,362699887426,
