binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIPCPLEX,binDPinMIPGUROBI
12109238,10235217,-801641774,31723412,33788099,33097121,-214612652,72486691110,58467581163,17668645967,74799482067,-602436624992
1701121,7070775,-609779611,55478194,22435392,26613322,-177044871,55157044023,43528822360,14163495754,75762797444,-602464208030
1679430,4656814,-616409944,46961850,28554835,30477143,-46620173,65945714803,57034600794,14503705526,76247714231,-602401749616
1459280,3204911,-615228529,28249784,28633721,27547802,-65256150,53556722988,54002961080,14557895750,70294009922,-602476119697
1425367,4786987,-607974554,42358789,24729017,32765162,-25097038,59999768549,52449987545,14119172454,63894683503,-602210766736
1507940,3358879,-607372719,52288947,52786777,41816521,-156200083,60803346811,49917194584,12017246927,75645728029,-602323068975
1620131,6708096,-611183888,19255469,9564243,32868362,-93411644,47639272459,40692658460,18358803732,90740563380,-602537831199
1652399,3487689,-607008764,22543621,37812629,29970508,-50042527,54529487896,38351854388,15088008999,86597307235,-602583659304
1419566,3184355,-616270398,38734478,31838657,33094118,-59084853,61128834512,47405651961,11820205863,63595707019,-602309373748
1558756,3322441,-606892125,57293297,34997774,37589394,-123744477,57456230783,50859434647,15681056677,70177308570,-602334792312
