binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIPCPLEX,
12583341,14764022,-707192806,58026007,29155941,35884067,-459923295,87706645219,74319564457,26842071583,137473649444,
19045971,8395983,-603073375,273200304,27111517,33167704,-274732096,75240145710,63100105423,28749012395,127897896199,
2254128,7022431,-602383028,20232088,15885244,30650625,-134217516,74098649110,62874229227,29932989663,141663940644,
3263620,6339123,-602006400,36082333,15665670,33425066,-72513136,72691301191,61314537375,28343941781,128347478876,
2346427,6794218,-601118875,132000209,18549492,32464869,-213885227,71707544032,63265528846,26585272950,128110194765,
1647681,5560349,-601190927,48062324,50187278,37710113,-517805794,66410395590,53564106868,22152320473,123819369458,
3261947,8806861,-601277389,59395979,26624279,34448934,-326332914,73454921000,59968717663,36384902622,148528431505,
2309422,6308531,-601071230,261999093,42666535,33020022,-110331595,72074936538,62939254413,29523404110,140454258819,
1644166,6682176,-601087502,24359109,30451508,38334630,-276695768,77113056047,70979973038,24573564846,127163051025,
1619963,6876249,-600917742,34153726,67057280,34378794,-42893853,65583015712,52096899480,29138796926,127341190376,
