binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIPCPLEX,
16101798,36122206,-710985782,53675192,41875262,43452326,-1906767942,304202553525,116642328830,546928362653,
4058795,16663717,-604192839,45968920,79954890,56849858,-240937394,346034122686,112152471432,472067783370,
4439460,9733763,-605027385,84234732,72707192,56212065,-463034447,389276754944,106039790202,494695435459,
18236399,12801036,-602722139,94656098,124747785,67739356,-2981542850,417342607291,100587914115,476233503449,
16807113,15795654,-605003645,56309706,86202119,58105199,-909424900,393869337556,101011114148,508717306229,
6518487,18198380,-604991317,55131259,108274498,56212562,-1611252053,394082724474,96218404146,511233137788,
6680948,19769344,-605829315,80850383,92063744,57154398,-631056045,375062124222,121240318562,533973586472,
3596536,16568086,-608346221,78015787,62396766,59896874,-495378143,388645272216,115110020524,533600289792,
3447355,11452702,-604169291,49926322,47309827,61823790,-462913833,444417944383,95834472161,510872998713,
3417552,16296235,-613053175,56648937,67488893,54201307,-341698660,374819335213,105298939411,486849167690,
