binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgooglev3,
20242349,48942356,-707435997,38896054,31101505,34174096,-6290162983,351613582624,
9580426,24734682,-603954900,129421488,131711468,67352419,-7291318230,382093976521,
8218259,21217505,-602386009,67761083,69266756,49518775,-8465113945,467726388487,
256841581,26604827,-605576900,190153505,162324052,68921506,-5421395820,434163613294,
10990779,27433537,-606730904,98057387,137255455,66205691,-134793962,440114356880,
15287970,33078526,-607756332,80820088,150053556,59128643,-16661034426,401254763372,
8733569,39672104,-621091638,101686388,160062631,68516884,-7264408852,489472272686,
17673985,32128167,-604875664,113802787,153384292,82561532,-1481902252,485976273573,
54030393,30170739,-607769821,90922008,154784301,64814935,-508814840,425637413702,
8383083,27886508,-608561432,62538110,119488802,66571739,-431911780,445810369396,
