binDP,binDPv2,binCPchoco,binCPgoogle,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
4393825,3087833,-706184443,-600024924268,30943710,37758229,29476028,-120761287,866245212,679021921,345158580,16682517428,1891907014,6536597923,
3263767,1469598,-601020433,-600000457352,41623899,32612236,30473734,-24387376,710122744,601250406,268929027,18589997972,1854419816,6386795227,
770930,677967,-600700935,-600000401962,26418318,34471839,32504863,-20508847,736853101,732851757,390099772,16360357165,1576886773,6689486098,
366105,957077,-600649354,-600000389815,30264669,10710714,27139917,-5115161,648180336,630587678,289998752,12587579319,1340508115,5382610017,
268620,449535,-600718080,-600000407622,32133088,15290686,29060437,-16050269,699930070,653527074,245220431,12745382128,1229864570,8410466853,
134543,518677,-600547460,600000402614,135600609,16762798,31783151,-16677012,588722937,541191612,231688986,11729201003,1446826430,7016912872,
203877,537102,-600415960,-600000376661,22618855,14279229,29226842,-14893717,694652508,674866844,409482096,18464106049,2032849774,7652060222,
153108,516107,-600463758,-600000420284,32849295,19394183,31447885,-8985430,723535984,695124472,281283370,15492476534,1776614484,7206497682,
148731,567229,-600559739,-600000388543,171455205,23842170,35200703,-17965681,654846079,589531793,257056927,16888711398,1507972126,6572131878,
258483,598204,-600503061,-600000373519,25482739,17423759,28138382,-32157193,624706718,552311267,247088726,12002030979,1457835913,8123215212,
