binDP,binDPv2,binCPchoco,binCPgoogle,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
1893198,1692122,703617919,1716215002,23409757,10926253,31794880,-11810561,119347907,76872508,31837497,841821135,293613322,775169992,
1560132,393323,600735401,825192233,20850628,7451580,27200835,-2241138,63139557,46776171,33890369,1401190324,220837933,566067342,
2774539,638722,600619638,755429435,33918507,6712945,25622995,-2076715,86191912,67006992,21515071,1884402026,322941845,1010732848,
2562361,238036,600571409,1761861269,7871459,6235992,27355036,-1710832,81985770,57283730,28264692,913474379,342207410,841009237,
216605,222598,600665069,1173052082,13416824,5273416,24154142,-1282454,79797234,68855941,25023662,2071938725,344797019,1018174511,
296568,192442,600627428,1278982891,9043086,5833097,25423530,-1396803,64539911,47182035,28544908,1686184254,273839473,895570577,
399112,291802,600387114,2616955724,16851372,6989368,30811718,-1057519,112312624,83131184,30059442,2167131526,454795802,1920786584,
364328,198488,600600589,865256416,11287972,8596949,30448084,-2850950,112077064,113513223,24296290,1234107567,458109505,1099973068,
135937,233039,600559038,4224408114,10982446,232555256,28834120,-1484681,175960770,144410260,48649571,2786800925,477838303,1380250659,
116853,223875,600527864,6822138357,11994342,5102823,23360912,-1213954,184113334,129897165,73365784,3055251468,576894966,1901225560,
