DP,CPgoogle,MIP,MIPCPLEX,ConstraintChoco,DPinCPgoogle,DPinMIP,DPinMIPCPLEX,DPinMIPGUROBI,
117080,29660998,20306854,8975679,-125635466,21895075,19376566,4726793,24084205,
252633,579701,17533088,48464637,-1059380,1214269,3163072,2203744,6446401,
742056,692581,10599123,4323197,-1064444,937977,3490759,2332289,6966259,
411529,716167,12939405,12654891,-1019923,1458006,2975540,2093122,6932438,
395293,682950,58807680,10509243,-1118339,1565569,3104900,1879066,6476958,
196240,689189,10282842,8277324,-892708,1062096,2507010,1856278,6449141,
258236,564486,12643431,5360842,-936639,809129,3116433,1984397,6034662,
218022,635141,11388257,6537998,-942584,1565673,2438147,1776441,7152459,
201718,587489,18577310,16134165,-1182659,1354970,3285423,1982932,6401477,
164625,625099,17840140,18509707,-1088797,1307906,3376608,2511341,6399938,
