binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIPCPLEX,
18819923,43496513,-741531418,50209660,43723294,53060451,-357090623,-847650908574,228335391069,-612268491119,
12663253,21644812,-605269560,69884640,65099894,53564436,-638118941,-796507740036,172689869218,-611341399138,
5346704,22225669,-605785345,71816201,145134292,56750434,-341044350,-839029344598,172798056087,-612025244116,
19432906,20814312,-604419205,98708419,201396210,61286396,-254211405,-765513566092,165023358172,-611635432709,
7137168,22932038,-603985389,41842315,77333670,58783705,-346439809,-758800246501,173936169701,-612333705649,
5435344,23316808,-607053624,92163813,78478574,55003271,-368142314,-757393098401,159827493591,-611411482683,
7404757,25241513,-603105838,54299418,60628848,57432583,-138347638,-756119450260,188401153878,-612329858974,
11911258,24572333,-605273104,89258969,145682712,58992817,-318800442,-755118839190,179139904220,-612608024918,
5285753,22373954,-602114921,58506353,151137300,58125985,-942991359,-769064300675,156426110066,-611039952040,
9740211,22082319,-605272857,98012397,192293634,76363731,-516887820,-798783869162,172149080437,-611275361153,
