binDP,binDPv2,binCPchoco,binCPgoogle,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
4365861,1933048,-772420525,600025668366,38280944,29539863,40866841,-81655222,524222061,410292759,146048132,10168419815,1132654542,4569710657,
3411774,754368,-600635575,-600000413324,32750393,15695464,34241686,-6242727,322573833,358115307,94449849,8056252759,880860694,2914414245,
573362,601866,-600573951,284280979505,12855746,13926082,26024678,-12367339,366348309,265529598,105522173,9746854709,1120802911,3375818776,
365729,556250,-600781159,566440013513,24557924,28325624,31226424,-9075110,377292736,245498227,127665641,9117153723,926685050,3367854759,
115008,456657,-600433848,600000440506,15273124,17302025,25784693,-3089188,322920767,254745705,86347266,5803948821,678250431,2510322190,
125479,279592,-600702836,600000415890,16484743,24910921,34616270,-5748893,368089366,248886351,81010292,6448364682,732931819,2382100077,
140393,324694,-600645228,600001511797,6142988,18103583,27845117,-8476933,420409259,367383661,117810525,10702590786,1075114833,4159831775,
159840,293137,-600416620,275736664847,5782148,21035612,30759189,-3797306,306951239,253447676,81958260,6620861996,956456817,2490332067,
144365,338884,-600389905,600000887162,53803725,21146309,31345704,-8865821,411941172,291501887,107705077,9621452069,1052555614,3640728699,
146600,327072,-600383353,600000447467,18401032,18175787,28592646,-4576824,333953418,257088904,85334464,7037012839,897929724,2856367053,
