binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI
7401993,2567613,-766689966,23088893,79263231,30023497,-107483617,2048215697,1328616878,615295242,37801151923,3866919219,12811174415
1128785,2830389,-601201960,25653495,13583624,29046801,-36935157,1244915770,1434219302,416763839,40253073661,3982892869,16881472131
474560,1322095,-600716110,19560605,25094845,26198252,-15058666,1776251319,1481690754,559767095,47685512657,3774984154,15416865091
227258,557430,-600665689,6334357,7214388,29257272,-8150598,1418357304,1142234885,439414777,31599131643,2712685298,11604683906
227418,545487,-600630266,21115467,24120543,31439633,-25799818,1905487062,1586432533,384289226,30195379138,2257484573,12125438745
352586,654675,-600627858,14998263,9923839,28086637,-9576295,1384371988,1158960524,437338495,26681298844,2804857888,8387848182
296354,684282,-600473758,20081474,11208673,27222882,-4790232,1450722217,1168262023,666199808,43421976148,4007394376,15470460363
293821,627080,-600503517,34763660,19587482,29752618,-21820410,1545767483,1322042546,468062761,36246867485,3648697346,16108829760
265731,622598,-600603907,208425750,705788771,29803738,-7895139,1939548730,1379488438,502957622,35212885505,4666353673,17743857929
276347,594438,-641181364,22848151,23695239,29146767,-16551897,1389185911,1184692455,461184862,38802526061,3194720563,14916251382
