binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIPCPLEX,
17428532,22521632,-740155836,47743075,210900068,47947924,-418096225,398487579594,452218888780,52871168271,263628412593,
32046173,12492218,-606905145,129241366,50949424,53592510,-127969638,506247642535,410758490642,47771265130,248072059905,
3485124,6552949,-605573474,72347225,126184217,51722785,-99160847,517066519013,236091687870,45674722192,267745728748,
2997419,6435072,-605621796,66628215,150580156,66368591,-43247319,419852019615,230963310654,42689196351,234781937082,
4791151,12800088,-606189673,38621222,41910063,69000461,-234415492,368707069093,206816120973,43777884250,246263764854,
2726463,10164163,-601599139,69337153,43006208,67809815,-22967098,330559849532,169742526741,37809288634,236873270238,
5095666,12113411,-601180706,49746813,35142217,112340675,-206268376,242073031429,181469183816,54124946851,289919133521,
3859223,10995495,-603906066,93991006,115101593,61036473,-183773692,475889087754,227027123541,46317106003,282891564063,
2730893,14049676,-603991103,53138084,106757226,64742896,-341696458,498759739216,305744149723,39207419721,231350755716,
5216395,8343701,-604452165,81533488,258783974,69010860,-120648440,301063121987,154739505966,46871814914,240312057176,
