binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIPCPLEX,
16757670,26608209,-733282726,66191737,67015657,60941508,-1027133026,484097290233,89126237788,433859138350,
7660441,13499523,-607135710,75221157,58770074,53149793,-358600939,445506747947,75310207833,403478019511,
7505794,14229852,-605312839,55382808,37625516,53886919,-123931397,471214143099,71974035646,403913622970,
38419571,14478639,-604045400,64719811,94651749,49810747,-69045814,448612987418,70185192062,371723389643,
9850234,10795918,-602954296,66417227,97694905,52558577,-532350138,399513322129,73152552649,368988708834,
3585657,14798051,-607278014,63135361,38831289,58271962,-53597891,379672391513,66383975829,394059603531,
3798149,10051307,-604499728,38949109,26884238,71823535,-129704809,352050389496,89498323580,455627697958,
4075558,26069203,-604289844,106453040,82662249,57014377,-74678915,415832194162,77658428229,446694927986,
3677477,9871226,-601384039,49031445,49895940,58942837,-122440449,563616237352,65090286586,389833110570,
3569602,11244212,-605749155,55806006,110837657,56716243,-395777565,392932043332,75982212757,395164864144,
