binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgooglev3,
22736568,47979856,-737709358,31297793,22402009,52358767,-2522228857,292987423571,
13139254,32711755,-605631670,92247619,89801177,65849513,-222817532,310684390633,
10077868,28256427,-602365209,39399070,65152251,59645339,-108971187,378700921665,
294485707,33986023,-603922839,239648154,351785370,65790943,-41222345,338057582560,
10187812,31157894,-603006998,84454415,60368793,83604754,-88924111,335435724767,
10135106,32267554,-603035626,67545029,121759074,68302112,-159773538,346174899662,
20197731,102191895,-822550964,197248912,63726409,58494054,-540633523,388535483191,
10248513,49169379,-617949251,171021625,111343510,60491284,-291670635,398236161419,
10371345,31949656,-601079222,105278737,95004095,67285109,-927247236,309279124659,
14680408,35635003,-604437974,65027108,100714327,76493504,-130587900,402336730377,
