binDP,binDPv2,binCPchoco,binMIP,binMIPCPLEX,binMIPGUROBI,binConstraintChoco,binDPinCPgoogle,binDPinCPgooglev2,binDPinCPgooglev3,binDPinMIP,binDPinMIPCPLEX,binDPinMIPGUROBI,
8527858,4921544,-805511888,39402595,58613750,44841746,-79336824,9184581452,6171213797,2084160681,369318778058,12672864059,113356732079,
8152073,4623154,-601631477,16674126,13925719,29797639,-25852056,7699147487,4968665729,1947672523,253250814732,12338200593,125058476807,
522837,1320951,-600879222,15145952,14497656,30780895,-17603462,7383696699,5820654643,2121809295,228095508937,13475372755,90913280621,
557003,1164622,-600883934,28464481,36627791,32640979,-36585728,8006301463,6931341077,2342175133,250983699408,11061180239,52647106588,
480654,1126671,-600693178,195292053,16438738,28188049,-41316527,8488525788,7323521729,1914369833,216794170000,9548907043,63513681181,
615835,1195637,-600653533,14375487,10766706,33157850,-47109927,8273394067,6520935331,1719114485,218599253896,12452964495,112924108240,
527250,1226442,-600677588,14600689,15292562,31821861,-13740769,6082100567,4319599528,3010770134,210219329250,12817604041,129943856921,
598980,1359456,-600659834,19537817,24479903,32127617,-43415893,6730555335,5778845354,2348177099,284366758508,15012380801,91368901371,
510539,1225002,-600864401,10527393,24507453,27088447,-17354582,7245925529,5234556651,1814224737,253665475443,10625232270,96443809209,
560961,1232525,-600753103,36393359,17369388,32442214,-20285828,7137454523,5522122201,2147727279,199733184545,10890437918,78657487602,
