MIP,CPgoogle,DP,DPinCPgoogle,
17411234,3609944,7910500,2074535,
9161015,1824585,1788954,1879674,
1422303,1493222,1427890,1482890,
1424534,1154681,1202519,1538825,
1571690,1578169,2006640,1621339,
1167585,1579525,1850818,1356857,
1391319,1588563,1488547,1686334,
1872094,2097358,2207157,2440736,
2070905,1713950,1750994,1443687,
1032711,1017895,3396860,1262724,
1607230,1093429,1121604,1142146,
1712414,1197891,1366867,2058797,
2152475,2271081,4971630,1896668,
2074449,1711193,1312207,1270319,
1234992,1230771,1637761,1349043,
1565388,1357456,2363385,2043412,
4101545,3053247,3066530,3862801,
2759824,2139166,2832518,3503425,
2709669,1832184,1972975,1995144,
1762384,3041500,6818939,2070820,
